Autor,Pieza,Gen,Subg,Jornada,Parlamento,Verso,Personaje,Tipo,Sexo,Texto
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,48,PALES,,X,"retiro a mí me compete,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,49,PALES,,X,que bucólica Talía
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,50,PALES,,X,canta en mí rústicamente.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,51,PALES,,X,"Viendo que es casa de campo,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,52,PALES,,X,"aunque es palacio eminente,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,53,PALES,,X,esta fábrica y que a mí
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,54,PALES,,X,sus festejos pertenecen;
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,55,PALES,,X,"viendo hoy en su hermosa esfera,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,56,PALES,,X,para tantos soles breve
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,57,PALES,,X,"a pesar de su estación,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,58,PALES,,X,"la majestad de mis reyes,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,59,PALES,,X,corrida vengo a buscarte
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,60,PALES,,X,por ver cuán poco te debe
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,61,PALES,,X,"esta dicha, que no has hecho"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,62,PALES,,X,prevenciones excelentes
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,63,PALES,,X,"con que su vista saludes,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,64,PALES,,X,"con que su deidad festejes,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,65,PALES,,X,con que tu ventura aplaudas
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,23,66,PALES,,X,y su venida celebres.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,67,FLORA,,F,"Yo, que soy Flora, a quien toca"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,68,FLORA,,F,el hermoso imperio alegre
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,69,FLORA,,F,"de estanques y de jardines,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,70,FLORA,,F,patria de flores y fuentes;
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,71,FLORA,,F,"yo, cuya cultura el cielo"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,72,FLORA,,F,mismo envidió tantas veces
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,73,FLORA,,F,cuantas mis varios dibujos
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,74,FLORA,,F,siempre en laberintos verdes
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,75,FLORA,,F,excedieron los azules
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,76,FLORA,,F,"suyos, siendo al oponerse"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,77,FLORA,,F,el jardín un verde cielo
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,78,FLORA,,F,"y el cielo un jardín celeste,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,79,FLORA,,F,con el mismo intento vine
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,80,FLORA,,F,a reñirte dignamente
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,81,FLORA,,F,"el poco cuidado, pues"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,82,FLORA,,F,fiesta ninguna previenes
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,83,FLORA,,F,en tu espacio que divierta
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,84,FLORA,,F,a quien mis jardines viene
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,85,FLORA,,F,a enriquecer de matices
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,86,FLORA,,F,y colores diferentes.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,87,FLORA,,F,"¿Cómo tú, Noche, en tu noche"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,88,FLORA,,F,perezosamente duermes
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,89,FLORA,,F,sin que de aqueste cuidado
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,90,FLORA,,F,el empeño te despierte?
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,91,FLORA,,F,"Pues, siendo la más festiva"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,92,FLORA,,F,"a las más remotas gentes,"
