Source,Target,Weight,Type
Gongora_¿Quién es aquel caballero...?,Gongora_Temo tanto los serenos,180,undirected
Gongora_¿Quién es aquel caballero...?,Gongora_Tenemos un doctorando,98,undirected
Gongora_¿Quién es aquel caballero...?,Gongora_Todo se murmura,119,undirected
Gongora_¿Quién oyó? ,Gongora_¿Callaré la pena mía...?,202,undirected
Gongora_¿Quién oyó? ,Gongora_Ave del plumaje negro,128,undirected
Gongora_¿Quién oyó? ,Gongora_Despuntado he mil agujas,135,undirected
Gongora_¿Quién oyó? ,Gongora_En el baile del ejido,2,undirected
Gongora_¿Quién oyó? ,Gongora_En la pedregosa orilla,3,undirected
Gongora_¿Quién oyó? ,Gongora_En lágrimas salgan mudos,7,undirected
Gongora_¿Quién oyó? ,Gongora_La cítara que pendiente,234,undirected
Gongora_¿Quién oyó? ,Gongora_La desgracia del forzado,7,undirected
Gongora_¿Quién oyó? ,Gongora_Lloraba la niña,26,undirected
Gongora_¿Quién oyó? ,Gongora_Pensó rendir la mozuela,6,undirected
Gongora_¿Quién oyó? ,Gongora_Tendiendo sus blancos paños,7,undirected
Gongora_A la fuente va, del Olmo,Gongora_Ahora que estoy de espacio,132,undirected
Gongora_A la fuente va, del Olmo,Gongora_Apeóse el caballero,27,undirected
Gongora_A la fuente va, del Olmo,Gongora_Aunque entiendo poco griego,45,undirected
Gongora_A la fuente va, del Olmo,Gongora_Contando estaban sus rayos,53,undirected
Gongora_A la fuente va, del Olmo,Gongora_Cuando la rosada Aurora,6,undirected
Gongora_A la fuente va, del Olmo,Gongora_Cuántos silbos, cuántas voces,8,undirected
Gongora_A la fuente va, del Olmo,Gongora_De la semilla, caída,6,undirected
Gongora_A la fuente va, del Olmo,Gongora_Desde Sansueña a París,1,undirected
Gongora_A la fuente va, del Olmo,Gongora_En la fuerza de Almería,4,undirected
Gongora_A la fuente va, del Olmo,Gongora_Guarda corderos, zagala,107,undirected
Gongora_A la fuente va, del Olmo,Gongora_Hermana Marica,1,undirected
Gongora_A la fuente va, del Olmo,Gongora_La ciudad de Babilonia,36,undirected
Gongora_A la fuente va, del Olmo,Gongora_Las tres auroras que el Tajo,372,undirected
Gongora_A la fuente va, del Olmo,Gongora_Manzanares, Manzanares,1,undirected
Gongora_A la fuente va, del Olmo,Gongora_Minguilla la siempre bella,4,undirected
Gongora_A la fuente va, del Olmo,Gongora_Pensó rendir la mozuela,11,undirected
Gongora_A la fuente va, del Olmo,Gongora_Que se nos va la pascua, mozas,11,undirected
Gongora_A la fuente va, del Olmo,Gongora_Trepan los gitanos,27,undirected
Gongora_A un tiempo dejaba el sol,Gongora_A vos digo, señor Tajo,3,undirected
Gongora_A un tiempo dejaba el sol,Gongora_Aquel rayo de la guerra,29,undirected
Gongora_A un tiempo dejaba el sol,Gongora_Aunque entiendo poco griego,105,undirected
Gongora_A un tiempo dejaba el sol,Gongora_Cloris, el más bello grano,42,undirected
Gongora_A un tiempo dejaba el sol,Gongora_De la semilla, caída,7,undirected
Gongora_A un tiempo dejaba el sol,Gongora_Dejad los libros ahora,36,undirected
Gongora_A un tiempo dejaba el sol,Gongora_Donde esclarecidamente,4,undirected
Gongora_A un tiempo dejaba el sol,Gongora_En el caudaloso río,53,undirected
Gongora_A un tiempo dejaba el sol,Gongora_En la pedregosa orilla,163,undirected
Gongora_A un tiempo dejaba el sol,Gongora_En un pastoral albergue,21,undirected
Gongora_A un tiempo dejaba el sol,Gongora_Ensíllenme el asno rucio,2,undirected
Gongora_A un tiempo dejaba el sol,Gongora_Escuchadme un rato atentos,61,undirected
Gongora_A un tiempo dejaba el sol,Gongora_Frescos airecillos,3,undirected
Gongora_A un tiempo dejaba el sol,Gongora_Hermana Marica,26,undirected
Gongora_A un tiempo dejaba el sol,Gongora_La cítara que pendiente,42,undirected
Gongora_A un tiempo dejaba el sol,Gongora_Las redes sobre el arena,10,undirected
Gongora_A un tiempo dejaba el sol,Gongora_No vengo a pedir silencio,37,undirected
Gongora_A un tiempo dejaba el sol,Gongora_Pensó rendir la mozuela,4,undirected
Gongora_A un tiempo dejaba el sol,Gongora_Tendiendo sus blancos paños,53,undirected
Gongora_A un tiempo dejaba el sol,Gongora_Triste pisa, y afligido,2,undirected
Gongora_A vos digo, señor Tajo,Gongora_A un tiempo dejaba el sol,3,undirected
Gongora_A vos digo, señor Tajo,Gongora_Castillo de San Cervantes,13,undirected
Gongora_A vos digo, señor Tajo,Gongora_Crïábase el Albanés,7,undirected
Gongora_A vos digo, señor Tajo,Gongora_Cuando la rosada Aurora,1,undirected
Gongora_A vos digo, señor Tajo,Gongora_En los pinares de Júcar ,15,undirected
Gongora_A vos digo, señor Tajo,Gongora_Ensíllenme el asno rucio,2,undirected
Gongora_A vos digo, señor Tajo,Gongora_Érase una vieja,285,undirected
Gongora_A vos digo, señor Tajo,Gongora_Frescos airecillos,189,undirected
Gongora_A vos digo, señor Tajo,Gongora_Manzanares, Manzanares,208,undirected
Gongora_A vos digo, señor Tajo,Gongora_Nace el niño y, velo a velo,14,undirected
Gongora_A vos digo, señor Tajo,Gongora_Noble desengaño,1,undirected
Gongora_A vos digo, señor Tajo,Gongora_Servía en Orán al rey,20,undirected
Gongora_A vos digo, señor Tajo,Gongora_Tendiendo sus blancos paños,1,undirected
Gongora_Ahora que estoy de espacio,Gongora_¡Qué necio que era yo antaño...!,23,undirected
Gongora_Ahora que estoy de espacio,Gongora_¿No me bastaba el peligro...?,75,undirected
Gongora_Ahora que estoy de espacio,Gongora_A la fuente va, del Olmo,132,undirected
Gongora_Ahora que estoy de espacio,Gongora_Al tronco de un verde mirto,11,undirected
Gongora_Ahora que estoy de espacio,Gongora_Ensíllenme el asno rucio,9,undirected
Gongora_Ahora que estoy de espacio,Gongora_Escuchadme un rato atentos,179,undirected
Gongora_Ahora que estoy de espacio,Gongora_Frescos airecillos,8,undirected
Gongora_Ahora que estoy de espacio,Gongora_Hanme dicho, hermanas,36,undirected
Gongora_Ahora que estoy de espacio,Gongora_La desgracia del forzado,16,undirected
Gongora_Ahora que estoy de espacio,Gongora_No vengo a pedir silencio,140,undirected
Gongora_Ahora que estoy de espacio,Gongora_Noble desengaño,49,undirected
Gongora_Ahora que estoy de espacio,Gongora_Pensó rendir la mozuela,280,undirected
Gongora_Ahora que estoy de espacio,Gongora_Servía en Orán al rey,13,undirected
Gongora_Ahora que estoy de espacio,Gongora_Sobre unas altas rocas,40,undirected
Gongora_Ahora que estoy de espacio,Gongora_Temo tanto los serenos,143,undirected
Gongora_Al campo salió, el estío,Gongora_¿Callaré la pena mía...?,124,undirected
Gongora_Al campo salió, el estío,Gongora_¿No me bastaba el peligro...?,256,undirected
Gongora_Al campo salió, el estío,Gongora_Apeóse el caballero,28,undirected
Gongora_Al campo salió, el estío,Gongora_Ave del plumaje negro,83,undirected
Gongora_Al campo salió, el estío,Gongora_Castillo de San Cervantes,63,undirected
Gongora_Al campo salió, el estío,Gongora_Ciego que apuntas y atinas,34,undirected
Gongora_Al campo salió, el estío,Gongora_Contando estaban sus rayos,2,undirected
Gongora_Al campo salió, el estío,Gongora_Cuántos silbos, cuántas voces,13,undirected
